                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0739,                 5.6655,                  1.592,                0.00107,                0.44583,                0.00114,                 0.0005,                 1.8511,                 4.3934,                 1.3865,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.8339,                 5.2752,                 1.3941,                0.00131,                 0.5125,                0.00111,                0.00053,                 1.7396,                 4.3333,                 1.4358,             0.00039091,             0.00039091,             0.00039091
                      3,                 1.8052,                 4.6607,                  1.354,                0.00126,                0.30833,                0.00126,                0.00053,                 1.6914,                 4.0265,                 1.3564,             0.00030039,             0.00030039,             0.00030039
